ID,English_Verb,Greek_Verb,Translation,Verb_Group,Present_Ego,Present_Esy,Present_HeSheIt,Present_We,Present_YouPl,Present_They,Aorist_Ego,Aorist_Esy,Aorist_HeSheIt,Aorist_We,Aorist_YouPl,Aorist_They,Future_Ego,Future_Esy,Future_HeSheIt,Future_We,Future_YouPl,Future_They,Present_Imperative_Esy,Present_Imperative_YouPl,Aorist_Imperative_Esy,Aorist_Imperative_YouPl
1,Eat,Τρώω,To eat,IRR,Τρώω ,Τρως ,Τρώει ,Τρώμε ,Τρώτε ,Τρώνε ,Έφαγα ,Έφαγες ,Έφαγε ,Φάγαμε ,Φάγατε ,Έφαγαν /Φάγαν ,Θα φάω ,Θα φας ,Θα φάει ,Θα φάμε ,Θα φάτε ,Θα φάνε /φάγουν ,Φάε ,Φάτε ,Τρώγε ,Τρώτε 
2,Buy,Αγοράζω,Tu buy,A,Αγοράζω ,Αγοράζεις ,Αγοράζει ,Αγοράζουμε ,Αγοράζετε ,Αγοράζουν ,Αγόρασα ,Αγόρασες ,Αγόρασε ,Αγοράσαμε ,Αγοράσατε ,Αγόρασαν ,Θα αγοράσω ,Θα αγοράσεις ,Θα αγοράσει ,Θα αγοράσουμε ,Θα αγοράσετε ,Θα αγοράσουν ,Αγόρασε ,Αγοράστε ,Αγόραζε ,Αγοράζετε 
3,Pay,Πηγαίνω ,To pay,A,Πηγαίνω ,Πηγαίνεις ,Πηγαίνει ,Πηγαίνουμε ,Πηγαίνετε ,Πηγαίνουν ,Πήγα ,Πήγες ,Πήγε ,Πήγαμε ,Πήγατε ,Πήγαν ,Θα πάω ,Θα πας ,Θα πάει ,Θα πάμε ,Θα πάτε ,Θα πάνε /πάγουν ,Πλήρωσε ,Πληρώστε ,Πλήρωνε ,Πληρώνετε 
4,Cook,Μαγειρεύω ,To cook,A,Μαγειρεύω ,Μαγειρεύεις ,Μαγειρεύει ,Μαγειρεύουμε ,Μαγειρεύετε ,Μαγειρεύουν ,Μαγείρεψα ,Μαγείρεψες ,Μαγείρεψε ,Μαγειρέψαμε ,Μαγειρέψατε ,Μαγείρεψαν ,Θα μαγειρέψω ,Θα μαγειρέψεις ,Θα μαγειρέψει ,Θα μαγειρέψουμε ,Θα μαγειρέψετε ,Θα μαγειρέψουν ,Μαγείρεψε ,Μαγειρέψτε ,Μαγείρευε ,Μαγειρεύετε 
5,Speak,Μιλάω,To speak,A,Μιλώ/Μιλάω ,Μιλάς ,Μιλά ,Μιλούμε/Μιλάμε ,Μιλάτε ,Μιλούν/Μιλάνε ,Μίλησα ,Μίλησες ,Μίλησε ,Μιλήσαμε ,Μιλήσατε ,Μίλησαν ,Θα μιλήσω ,Θα μιλήσεις ,Θα μιλήσει ,Θα μιλήσουμε ,Θα μιλήσετε ,Θα μιλήσουν ,Μίλησε ,Μιλήστε ,Μίλα ,Μιλάτε 
6,Drink,Πίνω ,To drink,A,Πίνω ,Πίνεις ,Πίνει ,Πίνουμε ,Πίνετε ,Πίνουν ,Ήπια ,Ήπιες ,Ήπιε ,Ήπιαμε ,Ήπιατε ,Ήπιαν ,Θα πιω ,Θα πιεις /πιείς ,Θα πιει /πιεί ,Θα πιούμε ,Θα πιείτε /πιείτε ,Θα πιούν /πιούνε ,Πιες ,Πιείτε ,Πίνε ,Πίνετε 
7,Wait,Περιμένω,To wait,A,Περιμένω ,Περιμένεις ,Περιμένει ,Περιμένουμε ,Περιμένετε ,Περιμένουν ,Περίμενα ,Περίμενες ,Περίμενε ,Περιμέναμε ,Περιμένατε ,Περίμεναν ,Θα περιμένω ,Θα περιμένεις ,Θα περιμένει ,Θα περιμένουμε ,Θα περιμένετε ,Θα περιμένουν ,Περίμενε ,Περιμένετε ,Περίμενε ,Περιμένετε 
8,Ask,Ρωτάω,To ask,B,Ρωτάω/Ρωτώ ,Ρωτάς ,Ρωτά ,Ρωτάμε/Ρωτούμε ,Ρωτάτε ,Ρωτούν/Ρωτάνε ,Ρώτησα ,Ρώτησες ,Ρώτησε ,Ρωτήσαμε ,Ρωτήσατε ,Ρώτησαν ,Θα ρωτήσω ,Θα ρωτήσεις ,Θα ρωτήσει ,Θα ρωτήσουμε ,Θα ρωτήσετε ,Θα ρωτήσουν , Ρώτησε , Ρωτήστε , Ρώτα , Ρωτάτε 
9,Watch,Παρακολουθώ,To watch,B2,Παρακολουθώ ,Παρακολουθείς ,Παρακολουθεί ,Παρακολουθούμε ,Παρακολουθείτε ,Παρακολουθούν ,Παρακολούθησα ,Παρακολούθησες ,Παρακολούθησε ,Παρακολουθήσαμε ,Παρακολουθήσατε ,Παρακολούθησαν ,Θα παρακολουθήσω ,Θα παρακολουθήσεις ,Θα παρακολουθήσει ,Θα παρακολουθήσουμε ,Θα παρακολουθήσετε ,Θα παρακολουθήσουν , Κοίταξε , Κοιτάξτε , Κοίταζε , Κοιτάζετε 
10,See,Βλέπω,To see,A,Βλέπω ,Βλέπεις ,Βλέπει ,Βλέπουμε ,Βλέπετε ,Βλέπουν ,Είδα ,Είδες ,Είδε ,Είδαμε ,Είδατε ,Είδαν ,Θα δω ,Θα δεις ,Θα δει ,Θα δούμε ,Θα δείτε ,Θα δουν , Δες , Δείτε , Βλέπε , Βλέπετε 
